SRR280988	female	male-biased
SRR280989	female	male-biased
SRR280990	female	male-biased
SRR280991	female	male-biased
SRR280992	female	male-biased
SRR280993	female	male-biased
SRR280915	female	female-biased
SRR280916	female	female-biased
SRR280917	female	female-biased
SRR280918	female	female-biased
SRR280986	female	female-biased
SRR280987	female	female-biased
SRR281061	male	male-biased
SRR281062	male	male-biased
SRR281063	male	male-biased
SRR281064	male	male-biased
SRR281065	male	male-biased
SRR281066	male	male-biased
SRR280842	male	female-biased
SRR280910	male	female-biased
SRR280911	male	female-biased
SRR280912	male	female-biased
SRR280913	male	female-biased
SRR280914	male	female-biased